SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
935832,910DHFL19B  ,F ,D,911.26,911.26,908.99,909.00,909.00,913.01,26,615,559038.00,
935836,915DHFL21B  ,F ,D,665.55,665.55,655.00,655.00,655.00,700.00,3,60,39732.00,
935840,925DHFL23B  ,F ,D,612.00,650.00,611.00,647.17,650.00,625.01,15,410,255253.00,
935894,0SIFL19     ,F ,D,1210.00,1210.00,1210.00,1210.00,1210.00,1210.00,27,688,832480.00,
935924,912SEFL20B  ,F ,D,980.00,980.00,970.00,970.00,970.00,988.00,3,3,2925.00,
935994,912SIFL22   ,F ,D,931.00,931.00,931.00,931.00,931.00,929.80,4,47,43757.00,
936010,900MFL22A   ,F ,D,975.01,975.01,970.51,970.51,970.51,984.98,4,1700,1651847.00,
936040,785MMFSL24  ,F ,D,926.10,930.00,926.10,930.00,930.00,931.00,2,20,18561.00,
936048,805MMFSL32  ,F ,D,910.00,910.00,890.15,890.15,890.15,891.14,2,410,365160.00,
936050,925SEFL22   ,F ,D,910.01,910.01,910.01,910.01,910.01,901.00,1,26,23660.00,
936076,0KFL20E     ,F ,D,913.00,913.00,913.00,913.00,913.00,1135.00,2,50,45650.00,
936090,95KFL21     ,F ,D,962.00,962.00,962.00,962.00,962.00,960.00,1,240,230880.00,
936110,865SIFL23   ,F ,D,915.00,915.00,915.00,915.00,915.00,899.80,1,20,18300.00,
936122,842ERFL21   ,F ,D,945.00,945.00,945.00,945.00,945.00,950.00,1,50,47250.00,
936138,875MFL23    ,F ,D,979.00,979.00,955.00,958.73,960.00,945.05,35,1155,1104360.00,
936144,9MFL23      ,F ,D,971.00,978.74,971.00,978.74,978.74,970.00,5,1000,977528.00,
936162,0KFL21D     ,F ,D,1030.00,1030.00,1030.00,1030.00,1030.00,1040.00,2,170,175100.00,
936170,0SEFL19     ,F ,D,1071.00,1084.00,1071.00,1084.00,1084.00,1070.00,3,60,64390.00,
936176,91SEFL21    ,F ,D,909.00,909.00,900.00,905.38,900.00,900.00,3,40,36215.00,
936180,9SEFL23A    ,F ,D,830.00,830.00,825.00,830.00,830.00,825.00,7,397,329045.00,
936182,935SEFL23   ,F ,D,850.00,850.00,830.00,830.00,830.00,850.00,4,158,133640.00,
936196,865DHFL23   ,F ,D,532.61,559.70,500.00,554.99,559.70,532.61,14,61,32539.00,
936198,89DHFL21    ,F ,D,795.00,795.00,795.00,795.00,795.00,699.99,1,1,795.00,
936202,856DHFL21   ,F ,D,750.00,750.00,676.00,676.00,676.00,680.00,2,2,1426.00,
936206,910DHFL28   ,F ,D,540.06,540.06,540.06,540.06,540.06,524.43,2,50,27003.00,
936220,95JMFCSL23  ,F ,D,960.00,960.00,959.90,959.90,959.90,955.00,2,20,19199.00,
936224,975JMFCSL28 ,F ,D,950.00,959.00,920.30,927.05,927.05,930.00,7,883,840395.00,
936226,934JMFCS28  ,F ,D,946.00,946.00,905.00,921.29,939.00,916.00,15,300,277482.00,
936228,893STFCL23  ,F ,D,979.88,979.88,968.00,973.99,973.99,970.00,5,62,60083.00,
936232,91STFCL21   ,F ,D,1038.01,1053.00,1038.01,1053.00,1053.00,1059.99,3,54,56816.00,
936234,93STFCL23   ,F ,D,1057.80,1057.85,1057.80,1057.85,1057.85,1038.60,3,228,241184.00,
936238,0STFCL21F   ,F ,D,1045.00,1045.00,1045.00,1045.00,1045.00,1042.30,1,50,52250.00,
936240,0STFCL23    ,F ,D,1040.01,1040.01,1040.01,1040.01,1040.01,1020.00,1,50,52000.00,
936250,965EFL23    ,F ,D,1005.00,1005.00,1005.00,1005.00,1005.00,1003.00,1,100,100500.00,
936252,943EFL28    ,F ,D,962.50,962.50,941.00,941.00,941.00,965.80,2,1003,965280.00,
